name,description,owner_avatar_url,html_url,stargazers_count,created_at,updated_at,pushed_at
d3kit-timeline,A simple timeline component that labels do not overlap.,https://avatars.githubusercontent.com/u/1659771?v=4,https://github.com/kristw/d3kit-timeline,371,2015-12-05T23:17:18Z,2024-06-10T18:23:17Z,2022-12-27T19:45:27Z
d3scription,D3.js tooltip plugin made simple. With single-page apps in mind.,https://avatars.githubusercontent.com/u/6952372?v=4,https://github.com/GlobalWebIndex/d3scription,30,2016-08-04T18:27:11Z,2023-09-11T10:51:36Z,2022-02-04T10:54:40Z
d3-annotation,"Use d3-annotation with built-in annotation types, or extend it to make custom annotations. It is made for d3-v4 in SVG.",https://avatars.githubusercontent.com/u/1449837?v=4,https://github.com/susielu/d3-annotation,749,2016-10-18T00:01:21Z,2024-08-17T13:58:54Z,2022-12-03T03:25:24Z
d3-area-label,A library for placing labels in areas.,https://avatars.githubusercontent.com/u/68416?v=4,https://github.com/curran/d3-area-label,76,2017-07-26T06:08:18Z,2024-07-13T13:10:44Z,2024-03-17T01:00:00Z
d3-breadcrumbs,,https://avatars.githubusercontent.com/u/6873202?v=4,https://github.com/bumbeishvili/d3-breadcrumbs,5,2017-11-05T11:58:43Z,2023-08-02T07:33:06Z,2021-12-03T14:23:14Z
d3-component,A lightweight component abstraction for D3.js.,https://avatars.githubusercontent.com/u/68416?v=4,https://github.com/curran/d3-component,108,2015-08-22T02:06:59Z,2024-02-21T15:07:08Z,2017-12-18T23:21:28Z
d3-extended,Extends D3 with some common jQuery functions and more,https://avatars.githubusercontent.com/u/132361782?v=4,https://github.com/wbkd/d3-extended,275,2015-04-29T17:23:35Z,2023-12-03T11:15:21Z,2017-08-30T13:52:22Z
d3-helpers,Little utility D3 functions,https://avatars.githubusercontent.com/u/2212006?v=4,https://github.com/bahmutov/d3-helpers,27,2014-04-02T15:51:23Z,2023-09-08T16:46:43Z,2020-07-15T19:48:48Z
d3-history,proper URL bar history for D3.js,https://avatars.githubusercontent.com/u/3488572?v=4,https://github.com/vijithassar/d3-history,50,2016-05-28T15:44:42Z,2023-06-04T14:15:21Z,2017-11-29T08:01:28Z
d3-hsluv,D3 implementation of human-friendly HSL,https://avatars.githubusercontent.com/u/3466817?v=4,https://github.com/petulla/d3-hsluv,10,2017-12-22T20:29:09Z,2024-03-20T20:54:54Z,2018-08-06T21:13:56Z
d3-iconarray,A D3 module for making grids of icons,https://avatars.githubusercontent.com/u/125399?v=4,https://github.com/tomgp/d3-iconarray,85,2015-07-31T07:32:03Z,2024-01-29T20:12:06Z,2021-07-17T07:41:50Z
d3-interpolate-path,Interpolates path `d` attribute smoothly when A and B have different number of points.,https://avatars.githubusercontent.com/u/793847?v=4,https://github.com/pbeshai/d3-interpolate-path,316,2016-08-25T02:19:58Z,2024-08-17T16:47:25Z,2023-01-07T04:11:44Z
d3-jetpack, 🚀 Nifty convenience wrappers that speed up your daily work with d3.js,https://avatars.githubusercontent.com/u/617518?v=4,https://github.com/gka/d3-jetpack,613,2015-02-12T21:22:19Z,2024-07-31T17:50:43Z,2023-02-23T11:47:44Z
d3-lasso,A lasso plugin for d3,https://avatars.githubusercontent.com/u/5554373?v=4,https://github.com/skokenes/d3-lasso,88,2016-09-21T02:43:14Z,2024-03-26T10:36:17Z,2021-05-05T14:57:50Z
d3-legend,A reusable d3 legend component. ,https://avatars.githubusercontent.com/u/1449837?v=4,https://github.com/susielu/d3-legend,729,2015-06-10T20:19:36Z,2024-08-17T13:57:40Z,2024-07-22T21:03:02Z
d3-loom,d3 plugin to create a loom chart layout (for d3-v4),https://avatars.githubusercontent.com/u/5062746?v=4,https://github.com/nbremer/d3-loom,93,2017-05-25T20:42:30Z,2023-11-14T00:03:47Z,2017-08-02T08:23:15Z
d3-nelson-rules,d3 utility to apply nelsons rules of process control to a set of data,https://avatars.githubusercontent.com/u/17273127?v=4,https://github.com/53seven/d3-nelson-rules,16,2015-12-12T04:03:47Z,2019-10-31T12:31:42Z,2020-06-02T18:12:56Z
d3-peaks,Find peaks in a noisy signal,https://avatars.githubusercontent.com/u/879348?v=4,https://github.com/efekarakus/d3-peaks,54,2016-02-29T00:37:42Z,2023-10-27T07:53:55Z,2016-03-25T03:05:39Z
d3-ring-note,D3 plugin for placing circle and text annotation,https://avatars.githubusercontent.com/u/5270903?v=4,https://github.com/armollica/d3-ring-note,110,2016-05-21T21:49:36Z,2024-01-04T16:04:57Z,2016-05-25T00:18:19Z
d3-scale-cluster,D3 scale that clusters data into discrete groups,https://avatars.githubusercontent.com/u/875591?v=4,https://github.com/schnerd/d3-scale-cluster,133,2016-09-14T17:50:46Z,2023-08-19T16:06:49Z,2023-03-04T02:32:01Z
d3-sparql,Query a SPARQL endpoint with a SELECT query and get the data ready to be used with d3js,https://avatars.githubusercontent.com/u/8504419?v=4,https://github.com/zazuko/d3-sparql,116,2017-07-22T13:45:55Z,2024-05-25T23:30:11Z,2019-05-10T08:00:54Z
